date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:07	10222/10222	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jul%202026%2008:09:06%20GMT	https://mcqs.learnuppakistan.com/robots.txt		(from )
13:09:07	59203/59203	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:06%20GMT	https://mcqs.learnuppakistan.com/	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/index.html	(from )
13:09:07	136/136	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2288-6536b62ef2005%22	https://mcqs.learnuppakistan.com/public/favicon.ico	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/public/favicon.ico	(from https://mcqs.learnuppakistan.com/)
13:09:07	114/114	---M--	200	added ('OK')	image/png	etag:%2272-6536b62ef2005%22	https://mcqs.learnuppakistan.com/public/favicon-32x32.png	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/public/favicon-32x32.png	(from https://mcqs.learnuppakistan.com/)
13:09:08	918/918	---M--	200	added ('OK')	image/png	etag:%22396-6536b62ef2005%22	https://mcqs.learnuppakistan.com/public/apple-touch-icon.png	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/public/apple-touch-icon.png	(from https://mcqs.learnuppakistan.com/)
13:09:09	7890/7890	---M-Z	200	added ('OK')	application/javascript	etag:W/%221ed2-S5d1JbU/W2ijNmy5onSU5ANG3mQ%22	https://cdn.jsdelivr.net/npm/canvas-confetti@1.6.0/dist/confetti.browser.min.js	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/cdn.jsdelivr.net/npm/canvas-confetti@1.6.0/dist/confetti.browser.min.js	(from https://mcqs.learnuppakistan.com/)
13:09:09	59152/59152	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:08%20GMT	https://mcqs.learnuppakistan.com/requests	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/requests.html	(from https://mcqs.learnuppakistan.com/)
13:09:09	69604/69604	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:09%20GMT	https://mcqs.learnuppakistan.com/playlists	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/playlists.html	(from https://mcqs.learnuppakistan.com/)
13:09:10	57309/57309	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:09%20GMT	https://mcqs.learnuppakistan.com/mock-papers	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/mock-papers.html	(from https://mcqs.learnuppakistan.com/)
13:09:10	45228/45228	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:09%20GMT	https://mcqs.learnuppakistan.com/past-papers	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/past-papers.html	(from https://mcqs.learnuppakistan.com/)
13:09:10	106423/106423	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:10%20GMT	https://mcqs.learnuppakistan.com/computer-science	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/computer-science.html	(from https://mcqs.learnuppakistan.com/)
13:09:11	105523/105523	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:10%20GMT	https://mcqs.learnuppakistan.com/everyday-science	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/everyday-science.html	(from https://mcqs.learnuppakistan.com/)
13:09:11	105860/105860	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:11%20GMT	https://mcqs.learnuppakistan.com/general-knowledge	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/general-knowledge.html	(from https://mcqs.learnuppakistan.com/)
13:09:12	105637/105637	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:11%20GMT	https://mcqs.learnuppakistan.com/islamic-studies	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/islamic-studies.html	(from https://mcqs.learnuppakistan.com/)
13:09:12	105891/105891	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:11%20GMT	https://mcqs.learnuppakistan.com/pakistan-studies	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/pakistan-studies.html	(from https://mcqs.learnuppakistan.com/)
13:09:12	88255/88255	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:12%20GMT	https://mcqs.learnuppakistan.com/english	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/english.html	(from https://mcqs.learnuppakistan.com/)
13:09:13	121587/121587	---M--	200	added ('OK')	image/png	etag:%221daf3-6536812b76f96%22	https://mcqs.learnuppakistan.com/public/logo-white.png?v=5	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/public/logo-whiteae52.png	(from https://mcqs.learnuppakistan.com/)
13:09:13	49472/49472	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:12%20GMT	https://mcqs.learnuppakistan.com/privacy-policy	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/privacy-policy.html	(from https://mcqs.learnuppakistan.com/)
13:09:14	46780/46780	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:13%20GMT	https://mcqs.learnuppakistan.com/terms-of-service	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/terms-of-service.html	(from https://mcqs.learnuppakistan.com/)
13:09:15	202459/202459	---M--	200	added ('OK')	text/javascript	etag:6683276164601739393	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6083362124771543	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/pagead2.googlesyndication.com/pagead/js/f1924.txt	(from https://mcqs.learnuppakistan.com/)
13:09:15	69588/69588	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:14%20GMT	https://mcqs.learnuppakistan.com/playlists/fia-ad-2026	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/playlists/fia-ad-2026.html	(from https://mcqs.learnuppakistan.com/playlists)
13:09:15	88314/88314	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202026%2008:09:15%20GMT	https://mcqs.learnuppakistan.com/playlists/css-mpt-2026	C:/Users/Lenovo/OneDrive/Desktop/website/learning_test/mcqs.learnuppakistan.com/playlists/css-mpt-2026.html	(from https://mcqs.learnuppakistan.com/playlists)
